ID,Password,Type
100001,admin,0
100002,admin,0
100003,admin,0
100004,admin,0
100005,admin,0
1000001,giangvien,1
1000002,giangvien,1
1000003,giangvien,1
1000004,giangvien,1
1000005,giangvien,1
1000006,giangvien,1
1000007,giangvien,1
1000008,giangvien,1
1000009,giangvien,1
1000010,giangvien,1
1000011,giangvien,1
1000012,giangvien,1
1000013,giangvien,1
1000014,giangvien,1
1000015,giangvien,1
1000016,giangvien,1
1000017,giangvien,1
1000018,giangvien,1
1000019,giangvien,1
1000020,giangvien,1
17020001,17020001,2
17020002,17020002,2
17020003,17020003,2
17020004,17020004,2
17020005,17020005,2
17020006,17020006,2
17020007,17020007,2
17020008,17020008,2
17020009,17020009,2
17020010,17020010,2
17020011,17020011,2
17020012,17020012,2
17020013,17020013,2
17020014,17020014,2
17020015,17020015,2
17020016,17020016,2
17020017,17020017,2
17020018,17020018,2
17020019,17020019,2
17020020,17020020,2
17020021,17020021,2
17020022,17020022,2
17020023,17020023,2
17020024,17020024,2
17020025,17020025,2
17020026,17020026,2
17020027,17020027,2
17020028,17020028,2
17020029,17020029,2
17020030,17020030,2
17020031,17020031,2
17020032,17020032,2
17020033,17020033,2
17020034,17020034,2
17020035,17020035,2
17020036,17020036,2
17020037,17020037,2
17020038,17020038,2
17020039,17020039,2
17020040,17020040,2
17020041,17020041,2
17020042,17020042,2
17020043,17020043,2
17020044,17020044,2
17020045,17020045,2
17020046,17020046,2
17020047,17020047,2
17020048,17020048,2
17020049,17020049,2
17020050,17020050,2
