IDLecturer,Name,DoB,Phone,Email,Faculty
1000001,Lê Văn Thịnh,1980/06/29,981506132,predovic.alta@ryan.org,Công nghệ thông tin
1000002,Trần Thu Phương,1980/09/04,911281825,phansen@gmail.com,Điện tử viễn thông
1000003,Nguyễn Tuấn Quốc,1980/11/05,995546419,daija.mayert@huels.net,Khoa học máy tính
1000004,Lê Thanh Tùng,1981/05/16,934772361,christelle03@skiles.com,Công nghệ thông tin
1000005,Nguyễn Minh Quân,1983/05/12,972706334,deon53@hotmail.com,Điện tử viễn thông
1000006,Trần Bá Hoà,1983/06/05,950921566,noconnell@hotmail.com,Khoa học máy tính
1000007,Nguyễn Hữu Hoà,1983/07/23,933782598,gschneider@walker.com,Công nghệ thông tin
1000008,Dương Thị Thuý Hằng,1983/07/25,985978463,chaim.stark@vandervort.com,Điện tử viễn thông
1000009,Lê Minh Tâm,1984/01/01,914736834,nitzsche.katheryn@daugherty.info,Khoa học máy tính
1000010,Khổng Thị Mai Loan,1984/08/22,950178590,antonina82@emmerich.net,Công nghệ thông tin
1000011,Phạm Ngọc Anh Trang,1985/10/12,985376430,percival.willms@cummings.com,Điện tử viễn thông
1000012,Lê Khánh Toàn,1986/10/05,915173331,derek88@yahoo.com,Khoa học máy tính
1000013,Nguyễn Tuấn Linh,1986/11/19,936830925,adrianna.schroeder@collier.org,Công nghệ thông tin
1000014,Phan Tất Phúc,1987/04/19,925067732,willms.bethany@stark.com,Điện tử viễn thông
1000015,Nguyễn Trung Hiếu,1987/12/06,940946331,jacobson.minerva@deckow.org,Khoa học máy tính
1000016,Hà Minh Tuấn,1987/12/23,919608936,bauer@ratke.com,Công nghệ thông tin
1000017,Phan Quang Hưng,1988/05/21,917329930,dario.runte@koepp.biz,Điện tử viễn thông
1000018,Hà Minh Hải,1989/05/30,963891566,sporer.abe@senger.biz,Khoa học máy tính
1000019,Phạm Đức Duy,1989/11/10,904210353,lera.stoltenberg@schuppe.com,Công nghệ thông tin
1000020,Đỗ Thành Đạt,1992/02/23,963717245,jordon.fadel@sawayn.biz,Điện tử viễn thông
