IDStudent,Name,DoB,Phone,Email,Class
17020001,Nguyễn Tuấn Quốc,1998/05/07,987174365,wilbert.kovacek@hotmail.com,K62-CACLC2
17020002,Lê Thanh Tùng,1998/06/05,924985344,kaleigh.johnson@hotmail.com,K62-CACLC2
17020003,Nguyễn Minh Quân,1998/08/27,965929454,priscilla75@yahoo.com,K62-CACLC2
17020004,Trần Bá Hoà,1998/08/28,999895570,vickie77@bogan.com,K62-CACLC2
17020005,Nguyễn Hữu Hoà,1998/08/31,945549973,keeling.neal@orn.com,K62-CACLC2
17020006,Dương Thị Thuý Hằng,1998/09/02,907809704,baumbach.leonardo@metz.com,K62-CACLC2
17020007,Lê Minh Tâm,1998/10/04,942692702,ohomenick@baumbach.com,K62-CACLC2
17020008,Khổng Thị Mai Loan,1998/10/16,953514441,howe.treva@yahoo.com,K62-CACLC2
17020009,Phạm Ngọc Anh Trang,1998/10/30,906751002,arjun.effertz@hotmail.com,K62-CACLC2
17020010,Lê Khánh Toàn,1998/12/24,928535989,ocronin@gmail.com,K62-CACLC2
17020011,Nguyễn Tuấn Linh,1998/12/26,950008974,ebrown@hotmail.com,K62-CACLC2
17020012,Phan Tất Phúc,1999/01/16,954456960,toney.mertz@hotmail.com,K62-CACLC2
17020013,Nguyễn Trung Hiếu,1999/01/18,950937145,hackett.joseph@jacobi.com,K62-CACLC2
17020014,Hà Minh Tuấn,1999/02/10,976493742,rutherford.brandyn@yahoo.com,K62-CACLC3
17020015,Phan Quang Hưng,1999/05/02,997965625,rempel.dejon@hotmail.com,K62-CACLC3
17020016,Hà Minh Hải,1999/05/04,969525632,gdooley@hotmail.com,K62-CACLC3
17020017,Phạm Đức Duy,1999/06/08,929629435,cschmeler@stroman.com,K62-CACLC3
17020018,Đỗ Thành Đạt,1999/06/11,901338379,margarett.doyle@yahoo.com,K62-CACLC3
17020019,Phan Thế Giang,1999/07/15,940727038,elias.heathcote@parisian.com,K62-CACLC3
17020020,Nguyễn Minh Đức,1999/07/25,961672869,hill.kenneth@sawayn.com,K62-CACLC3
17020021,Nguyễn Hữu Đạt,1999/08/27,948413847,qeffertz@yahoo.com,K62-DACLC1
17020022,Bùi Quang Hà,1999/09/27,931831303,callie.miller@yahoo.com,K62-DACLC1
17020023,Nguyễn Công Tuấn Anh,1999/10/28,987293500,kihn.salvador@wilkinson.org,K62-DACLC1
17020024,Trương Việt Anh,1999/12/12,972084333,nicolas.aiden@gmail.com,K62-DACLC1
17020025,Nguyễn Mạnh Hùng,1999/12/23,918165016,eschroeder@yahoo.com,K62-DACLC1
17020026,Phạm Tuấn Hiệp,1998/01/16,992927690,maurice.turner@predovic.com,K62-DACLC1
17020027,Nguyễn Quý Thịnh,1998/02/06,986674496,omurazik@leuschke.com,K62-DACLC1
17020028,Nguyễn Minh Khôi,1998/02/13,904476380,damore.malika@weissnat.net,K62-DACLC1
17020029,Bùi Tiến Đạt,1998/03/01,999409985,katlyn27@halvorson.org,K62-DACLC1
17020030,Dương Hải Minh,1998/05/15,962794198,juanita74@gusikowski.com,K62-DACLC1
17020031,Đỗ Quốc Trung,1998/05/29,972687120,wallace28@bode.org,K62-DACLC1
17020032,Đào Tiến Dũng,1998/06/06,932653355,kelton.hamill@yahoo.com,K62-DACLC1
17020033,Vũ Quốc Khánh,1998/06/25,926088973,urosenbaum@doyle.com,K62-DACLC2
17020034,Nguyễn Việt Hoàng,1998/07/01,982614509,jhartmann@yahoo.com,K62-DACLC2
17020035,Vũ Trọng Dương,1998/07/18,986673292,kertzmann.justen@schaefer.com,K62-DACLC2
17020036,Trần Anh Bảo,1998/07/30,982777625,lesch.serenity@hotmail.com,K62-DACLC2
17020037,Nguyễn Quốc Cường,1998/10/03,968984726,vbailey@yahoo.com,K62-DACLC2
17020038,Trần Tuấn Minh,1998/10/09,905969652,cleveland.donnelly@hotmail.com,K62-DACLC2
17020039,Nguyễn Sĩ Tùng,1998/10/17,958079719,nskiles@wolff.com,K62-DACLC2
17020040,Nhữ Anh Thư,1998/11/21,931769903,tess19@gleichner.com,K62-DACLC2
17020041,Nguyễn Vương Tiến,1998/11/26,960563094,ucronin@rohan.net,K62-DACLC2
17020042,Lê Quang Phước,1998/12/15,902130915,johnson.melisa@shields.com,K62-DACLC2
17020043,Lê Đình Hoàng,1998/12/31,925479042,constantin21@cartwright.com,K62-DACLC2
17020044,Phạm Tuấn Linh,1999/01/22,953020662,jones.sigmund@hotmail.com,K62-DACLC2
17020045,Hạ Anh Dũng,1999/01/31,915798401,vkeeling@schultz.com,K62-DACLC2
17020046,Lê Xuân Phú,1999/04/12,977968180,white.jettie@lynch.com,K62-DACLC2
17020047,Nguyễn Thái Huy,1999/07/06,984590506,macie99@gmail.com,K62-DACLC2
17020048,Nguyễn Phương Hằng,1999/10/03,966390471,tlockman@connelly.com,K62-DACLC2
17020049,Lê Trung Thông,1999/10/25,987151006,ufay@gmail.com,K62-DACLC2
17020050,Hoàng Văn Hiếu,1999/12/10,992623648,nicklaus.labadie@yahoo.com,K62-DACLC2
